Nota,Título,Comentário
1,Não grava a Senha,"Após a atualização , se o cliente clica em
“Esqueci a senha” e digita uma nova, o app aparece a mensagem “erro ao gravar senha”."
1,Não consigo terminar o cadastro,"Quando insiro os dados do cartão, aparece a mensagem de erro “campo ip deve ser preenchido corretamente”. O problema é que não tem nenhum campo chamado “ip”, e caso houvesse, o aplicativo deveria indicar como preencher cada campo.

Além disso, sempre que tiro foto da minha CNH, o app processa a informação, não gera mensagem de erro e me joga de volta para a tela anterior. La, posso ver a exclamação indicando que os dados ainda não foram preenchidos.

Equipe movida, prestem atenção nos ainda pequenos novos entrantes que estão fazendo isso com primazia ;)"
1,Bugs sérios nesta nova versão,"Não é possível logar no perfil para habilitar a biometria. Ao colocar o CPF e senha na tela de login, ele simplesmente informa ""Token atualizado com sucesso"". Isso acontece tanto na tela de abertura do programa, quanto para entrar na área de usuário."
3,Erro no Checkin,Sempre aparece erro quando se faz o checkin. Preencho os dados obrigatórios e erro sempre permanece.
1,Aplicativo não funciona,"Baixei aplicativo, mas tento fazer reserva ou se cadastrar, ele fica carregando carregando... enfim, aplicativo não dá pra fazer nada."
1,Péssimo aplicativo,Não baixe. Não funciona para nada. Nada.
1,App indisponível,"Já faz alguns dias que o app está com problema, não consigo ver os veículos disponíveis pois sempre aparece um erro. Tentei acessar por outro aparelho e apareceu o mesmo erro, ambos Apple um X e um 7. Nunca tinha tido problemas com o app."
2,Não consigo reservar,"Desde sexta-feira (02/02/18) não consigo realizar reservas pelo App. Aparece a mensagem “Ocorreu um erro! Ocorreu um erro de comunicação com o servidor.” quando clico em “ALUGAR”. Sempre utilizei o App para reservas, e normalmente funcionou muito bem. Aguardo correção."
5,Excelente App!,"Utilizei o app 2 vezes e estou muito satisfeito! Realizei o cadastro rapidamente, localizei as opções de carro de forma rápida e fácil e por fim a reserva no loca estava EXATAMENTE como prometido. Outra coisa que me chamou muita atenção foi a interação do app vs SMS. Assim que finaliza no app vc recebe um SMS avisando a reserva e depois um lembrete informando o horário da reserva! Parabéns pelo excelente app!"
4,Funciona bem,Tenho usado com frequência sem problemas graves. Somente a janela de confirmação do bloqueio para reservas sem seguro informa um valor menor do que o bloqueio que a agência faz. Me chateou um pouco no início mas era o mesmo valor informado no e-mail de confirmação da reserva. Podiam atualizar essa informação no app pra não gerar confusão.
5,Excelente app,"Sempre utilizo o app da movida para fazer minhas reservas! 

Nunca tive problemas e ainda de vez em quando alugo com descontos de cupons promocionais

Eu indico!"
3,Nao reserva,Nunca tem veiculo disponivel pelo app.
1,Pedaço de lixo,"Impossível me cadastrar. Nenhuma cidade DO MUNDO aparece qdo vou dizer minha cidade. DO MUNDO.
Eu acho que existem pequenos erros, erros mais graves e erros absurdos que te fazem questionar como algo veio a ser. Esse eh um erro q me faz perguntar pra mim mesmo como esse app veio a existir E receber boas críticas.
Outro problema foi que eu quis reservar um carro para retirar às 16h e eram 13h30, algo assim. Dizia q eu não podia fazer a reserva pois tinha que ser pelo menos uma hora antes. Parece q as duas horas e meia q eu tentei reservar antes não foram suficiente.
USE LOCALIZA"
1,Não consigo entrar,"Não consigo entrar com meu CPF e senha, sempre diz que estão errados, mesmo estando corretos, no PC funciona normalmente."
1,Não funciona!,"O aplicativo não funciona, fica travado."
1,Não funciona,"Não merece estrela alguma. App não funciona, estou até agora esperando o sms com o cod de registro..."
1,Usabilidade péssima,"App muito ruim! Não critica os campos data de nascimento e senha durante o preenchimento, fazendo com que o usuário tenha que refazer todo o processo de cadastro. As cores do fundo de tela durante o preenchimento do cadastro também não ajudam. Por fim, o envio do e-mail para confirmação não funcionou."
1,Impossível ver a reserva,"O app apresenta erro e não exibe a reserva, mesmo estando confirmada."
3,Não consigo ver minha reserva,Depois que atualizou quando tento ver minhas reservas aparece mensagem de erro!
1,Não perca tempo.,"Nem perca seu tempo abaixando. Mesmo com cadastro no site, é um parto para entrar e, ao inserir suas reservas, nenhuma existe."
5,Ótimos preços!!,"O aplicativo achei simples, mas funciona. O grande diferencial é dar 3 horas a mais para entregar o veículo"
1,Erro no app,"Ao tentar logar uma mensagem é apresentada de erro de login ou senha. Os clicar em ""esqueci minha senha"" apresenta um novo erro que n foi possível enviar e-mail. Espero que resolvam pois o app pode ser muito útil"
1,Não funciona,"Não permite login, precisam ficar mais atentos antes de divulgar um aplicativo"
1,Tão ruim quanto a própria locadora,"Infelizmente o App não deixa logar com cpf. Tentei dar um crédito para a Movida, mas não rola. Desisto!"
2,Não está logando!,"Depois dessa nova versão não está logando, estava normal, mais atualizei e não entra mais com minha senha. Correção urgente !"
1,Login,Aplicativo não permite login. Aparece mensagem de erro sendo que os dados estão ok! Consigo ver minha pontuação mas não consigo logar.
1,Não é possível gerenciar reservas,Não funciona. Ao escolher gerenciar reservas o aplicativo fica tentando e não consegue sair do lugar. Fiz a reserva pelo site e pensei em usar o aplicativo... Pensei errado.
1,Login,"Não consigo logar com meus dados ""CPF"". Sempre da erro. O app não deixa logar com o CPF e nem reenviar senha. Já liguei para a central e ninguém saber informar. Uma bosta!"
1,Bugada,"Não consigo nem fazer o login, digito login e senha e da erro"
1,Horrível,"Vou desinstalar agora, não consigo fazer o cadastro, prefiro a localiza mesmo."
1,Experiência péssima!,"Ainda não sou cliente da Movida, estou fazendo orçamento para O Estado ES e notei que no aplicativo é um valor e no site e outro, tentei conversar no WhatsApp para entender melhor, logo falei com uma Senhora que se chama Jennifer que por sinal eles não se identificam tive que pergunta o nome, mandei mensagem no WhatsApp à noite e no final fiz algumas perguntas questionado por os valores do siteXvalores do aplicativo, mas na hora a Sra. Jennifer fez uma pergunta seca para o orçamento e não respondeu nenhuma das perguntas que fiz, depois de insistir ela respondeu que era por com das taxas. Logo depois fez o orçamento, gente o valor deles é o mais caro de todos os orçamentos feitos, pesquisei valores de uma semana para um carro mas simples e está um absurdo! Não usei o aplicativo de fato mas se pra vender o produto deles já é assim imagine corre atrás de algum problema. Excluindo o aplicativo é não indico pra ninguém esse empresa. 👎🏻"
2,Reserva empresarial,"O aplicativo não mostra reservas que não for feita diretamente nele. Por exemplo, em casos de reservas por agência de viagem, não é possível acompanhar a reserva ou fazer checkin antecipado (o app da Localiza puxa a informação automaticamente)"
1,App ok! Empresa fraca!,"Filas e mais filas. Essa é a Movida.
Funcionários saturados, esse é o reflexo da falta de organização. Nunca mais utilizar essa empresa"
3,Reservas,"Não aparece a reserva feita e nem mesmo as anteriores, está já é segunda atualização e não resolve"
5,Td funcionando,Reservei à pouco e todas as funcionalidades funcionaram perfeitamente
1,Não Funciona.,"Só perdi meu tempo, pois instalei 2 vezes e continuou com mesmo erro: não aceita as datas pra reserva e da orçamento de 1 diaria!"
1,Senha inválida,Precisam verificar o cadastro de senha porque não permite nenhuma numeração. Por esse motivo não consegui concluir meu cadastro.
2,Cadastro,"Fiz meu cadastro, mas quando fui entrar da erro, ou na senha ou no cpf, tento redefinir senha e não adianta, e quando vou refazer o cadastro já tenho cpf na conta ."
5,Rápido e intuitivo,Facilidade
1,Pior impossível!!!,"Preço otimo, mas só pra inglês ver!
Nem cadastro no site, consegui fazer!!!
Bando de incompetentes. Ainda bem que eu li todas as reviews, senão teria me fu..."
1,Aplicativo amador,"O aplicativo precisa melhorar muito  ficar mais ou menos. 
Quando se faz uma reserva não aparece no aplicativo que você tem reserva, e nem no histórico de reservas. O funcionamento é precário.
Passa uma impressão ruim que compromete inclusive a imagem da empresa. Não transmite confiança. 
Façam um favor pra vocês mesmo: dêem uma olhada no aplicativo da Localiza e contrate um bom profissional pra fazer um semelhante. Porque quem fez esse aplicativo deve entender bastante de lavar pratos, não de programação."
1,Grandes filhos da puta,"Nojentos me trataram com descaso na loja, carro ainda estava todo sujo, empregados totalmente despreparados na loja da Brás Cubas em Santos. Atendimento péssimo o 0800 não dá suporte, um joga pro outro e nada se resolve. QUERO O ESTORNO DO MEU CARTÃO O MAIS BREVE POSSÍVEL. Cambada de nojentos fdp 
Espero que feche as porta 🙏"
1,Impossível se cadastrar,"Fiz o cadastro parcialmente, o app informa que um código de verificação será enviado por e-mail, estou esperando há dois dias e até agora nada de receber o código, desta forma não foi possível concluir o cadastro e por consequência usar o app, estou deletando o app e vou me cadastrar em outra empresa."
1,Sugestão de melhorias/ erro,"- Acredito que iria facilitar muito ao selecionar o dia e horário da retirada do veículo o horário de devolução preencher automaticamente.
- Primeiro o app tem erros no cadastro, ao fazê-lo não computa depois os pontos dos aluguéis."
1,Muito ruim,Vc não consegui enviar a cnh por foto👎
1,Pedaço de lixo (2),"Baixei pra aproveitar o desconto que o app dá. Mas não deu. Como eu tinha cadastro (feito 2 anos antes) e não lembrava a minha senha,
cliquei no botão de resgate de senha e recebi um codigo de validação.
Daí em diante foram apenas mensagens de erro. Liguei pra reservar por telefone e expliquei o problema, mas eles não honraram o mesmo desconto pelo telefone. Como disse o amigo ali anteriormente, é lixo mesmo."
