Nota,Título,Comentário
5,Maravilhoso,Mtooo booom
1,Lixo,Jogo babaca
5,Melhor jogo,Excelente
1,Fases repetidas,A partir da fase 3600 muitos níveis estão repetidos! Qual o objetivo de passar de fase se é o mesmo nível que já joguei anteriormente???????? Péssimo.
4,Já foi melhor,Tem que demorar mais pra mostrar a jogada possível!
5,Eu adoro,Sem duvidas é o jogo que eu mais gosto e jogo há anos.
5,Ótimo,Muito bom
5,♥️👌🍭 🍬,App MARAVILHOSO
5,amo,melhor jogo da vida
5,Bom jogo,Bom jogo
2,Spring sale,Bought the spring sale combo but only got the 20 gold bars... where are the other items?
5,Show😍😍,Amoooooo
1,O jogo não abre,Já faz alguns meses que esse jogo não abre no meu celular (iPhone 5s). Queria saber o por que disso
4,"Gosto, mas tem algumas limitações",Poderia ter menos empata de vídeos propaganda
5,amo,mega viciada!
5,Candy Crush,Ótimo jogo!
5,Bom,Ótimo jogo
5,Amo esse jogo,Melhor do mundo
5,Bom,Bom
3,Bom,"O jogo é bom mas chega uma hora que fica muito dificil, não tem mais o que fazer. Deletei."
1,Porque a fase 4386 trava ?,"Único problema que tive no jogo, não tem como jogar essa fase, ela finaliza antes mesmo de começar !"
5,Amoooo,"Amooooo,ótimo entretenimento"
5,Não tem igual,Cada dia um desafio viciante
5,Tutu,Tutu
5,Top demais !,As horas passam e eu me só vicio hahaha ♥️
4,Muito bom,Gosto muito
1,Rouba de mais,Colocam fases fácil falando que é difícil e fases difíceis falando que são fáceis... vai entender
5,🥰,Excelente! 🤩
5,Jogo,Jogo top meu vicio
5,Bom,Ótimo
2,Foi muito bom,Sempre jogo desde o lançamento não tenho o que reclamar... até que colocaram propaganda a cada clique e isso sim se tornou uma coisa chata... ter propagandas ok mais não tantas
5,Maravilha,Show
1,Legal,Muito bom
5,Top,Amo esse jogo
1,Raiva,Travou e não volta mais! Simplesmente fica carregando por horas e não abre!
5,OhSnh,Minha melhor diversão
5,Amo,Super
5,Melhor jogo!,"Para passar o tempo, tirar o stress, ou onde quiser! Melhor jogo! Eu adoro."
5,Muito bom,Viciante
3,Da muita dica,A única coisa que não gosto é do jogo ficar mostrando dica toda hora. Da nem tempo de pensar na jogada.
4,Muito bom,É um dos melhores aplicativos para passar o tempo
5,Viciado,Jogo extremamente viciante. Até sonhei com ele. Kkkk
5,Amo 😍,Melhor jogo ❤️❤️❤️!
5,Melhor jogo,Melhor jogo
5,Muito bom,Melhor passatempo 😍😍😍
5,...,É bom!
3,"Jogo divertido, masss","O jogo é ótimo, mas as vezes colocam fases quase impossíveis de passar sem ter os boosters... o que, para quem não quer comprar, desmotiva a continuar a jogar."
4,Legal,Legal
5,Maravilhoso,Jogo viciante
5,Recomendo!,Jogo ótimo 😍
5,Lixo só que nao,Mlr app só q nao então é os guri de Uruguaiana
5,Ameiiii,Melhor jogo amando
5,Muito viciante!,"Se não quiser se viciar, nem baixe esse app! A integração com redes sociais favorece muito a busca por níveis mais altos! 🍬🍭🍡🍢"
5,Muito bommm,Amoo
5,i like it,very funny
5,Joguinho,Bom demais 👏🏻👏🏻
5,Top,Top
4,Amo esse jogo,😍
5,Melhor jogo,Amooo
5,Melhor de todos!,"Nada se compara
Ao CANDY CRUSH! Sempre o melhor!"
2,Problema,"E da 3 dias que não consigo abrir o App, abre a segunda tela e para!"
5,💓,😍😍
5,Mágico,Amo mas odeio as bombas kkkk tirando isso tudo perfeito
5,Muito Viciante,"Amei o jogo, Top d+, It's top, 10/10"
5,O Melhor!!,Adoravel
5,AMO,Muito
5,Muito bom,Adoro
5,Melhor jogo,Adoro jogar todos os dias
5,Ótima distração,O melhor joguinho que tenho no celular.
5,Muito bom,Excelente para passar o tempo
5,Amo,Amo demais
5,ótimo,"jogo muito bom, empolgante"
5,Top,Passa tempo perfeito
5,Muito bom!,"Além de ter atualizações incríveis o jogo te incentiva a superar os limites. 
Único ruim no meu iPad é que trava muito nos anúncios. Fora isto, adoro jogar."
5,Amo!,Eu amo
5,Ótimo,👍👍👍
5,Adoro,Viciante
5,Gabriel,"Muito legal , e um ótimo passatempo"
5,Amo,Melhor jogo
5,❤️,❤️
5,Top,Jogo muito bom!
5,❤️,"Amo o jogo. Às vezes me estresso com algum bug, mas não da pra parar de jogar. Amo demais!"
5,Sensacional ❤️,Super indico.
5,Muito bom,Bom
5,maravilhoso,melhor jogo do mundo
5,Candy crush,"Muito bom, viciante"
5,Ótimo,Jogo viciante que amo
5,Top,Muito bom
4,Ótimo,Muito bom!
5,Estou falando de vício. Kkkkk,Viciada nesse jogo. Amo demais.
5,Mto bom,Adoro
5,Top,Gostei muito top
5,Adoro esse jogo!,Muitas novidades e um passatempo muito divertido!
5,Muito bom jogo,O jogo esta muito mas ao longo do tempo fica um pouco tedioso
4,lol,Bem divertido para se passar o tempo
5,O Rei das Galáxias,Se existe um pica das galáxias esse jogo é uma moinho de rola.
5,Great,Good game!
5,Muito bom,Gostando
5,Ótimo jogo,😻ótimo
5,CandyLover,Vício!!
5,Amo,Amo demais!!! Pena que as vidas demoram tanto pra recarregarem! 😭
5,Vanessa Freitas,"Otimo app, varias fases e muito interativo"
4,Adorooooo,10
5,Ótimo jogo,Muito bem feito
5,Ululante,Ushsujaka
5,Amo,O jogo
5,Muito bom,Vale a pena baixar !
5,Amoooo,Bom demais
5,Toooop,O mais top
5,Show,Gostei muito!
5,E muito bom gente,Ele faz a gente ficar desestressar
5,viciante,muito viciante
5,Viciante,Melhor Jogo❤️
5,adoro ♥️,é um ótimo passa tempo sempre joguei e amo 🥰❤️❤️
5,Muito bom!,Estimula o raciocínio.
5,Melhor jogo,Me divirto muito
5,Bom,Muito bom
4,Bom todo,Pra distrair é o melhor remédio
5,Recomendo,Amo e é divertido. Recomendo.
3,Barras de Ouro que não são creditadas,Adoro o jogo mas comprei alguns pacotes e as BARRAS DE OURO NUNCA são creditadas.
5,Top,Top
5,Avaliação,Muitoooo boom! 🙅🏻‍♂️
1,Vergonha,"Quando se escolhe prêmios, eles não aparecem, jogadas que não são concretizadas! Bugs em telas, que se fica mais de 2 semanas pra conseguir passar de fase. Roleta que não da premio máximo!
Jogo fdp, NÃO RECOMENDO."
5,iPhone 8 Plus,Muito bom amooo
5,Melhor jogo,Top
5,Filipi,Great!
5,Não gostei,"Começou ter muita propaganda ,por isso,vou desistir acaba ficando chato esse jogo com muita propaganda desnecessário"
5,Viciante!,Muito bom
5,Passatempo ideal,Divertido e viciante
5,Adoro!,O melhor que já joguei neste estilo!
5,Que jogo envolvente!,Joga-se sem parar. Muito bom.
5,Maravilhoso,meu vício diário!!! muito bom ❤️
5,Adoro,Amei a nova atualização!!!
5,Muito bommmm,Adoro esse joguinho
5,Topzeraa,Melhor jogo!
5,😍,Amo este jogo
1,Rouba demais,Aparece que não tem mais movimentos quando nitidamente ainda tem.
5,Melhor jogo,Amo
5,Top,Jogo maravilhoso amo jogar ele
5,Ótimo pra passar raiva quando a vida acaba mas eu adoro,🤠🤠🤠
5,Ótimo,Muito bom e divertido
5,Bom,Mt bom
5,B,Bomm
5,Melhor jogo! Viciante,"Amo de mais, melhor jogo! O único do meu celular 👏🏻😍. 
Vicio todo mundo ao meu redor"
5,Super satisfeita !,Estou amando o jogo
5,Legal,👏 legal
5,Muito bom,Muito bom
5,Maravilhoso,Amo esse jogo só nn gosto de perder kkkkk
5,Mara,Amo
5,Muito bom!,Sou loucamente viciada nesse jogo.
5,Top,"Melhor jogo da vida, jogo a anos"
4,Vidas,Queria que tivesse mais vidas
5,Muito bom,Amo demais
5,❤️,Muito bom
5,Jogo 🔝,Muito bom o jogo!! Recomendadissimoooo! Show!👏🏾👏🏾👏🏾👏🏾
5,✅,Adeus vida social
5,Jogo demais,Top demais
4,C,Legal
5,Melhor,Muito bom
5,tata,otimo viciante adoroooo
5,Jogo,Ótimo jogo top
5,Candy,Fã demaisssssss
5,Jogo,Muito bom
5,Ótimo,Ótimo
4,Amo,As vezes fico por um mas amooo é viciante
5,Bom,Muito divertido
3,Dicas o tempo todo,"o Jogo é legal mas tem dica o tempo todo, isso atrapalha. Não dá nem tempo de pensar e já dão dicas de jogadas. Deviam ou aumentar o intervalo de tempo até que o jogador tenha ajuda ou ter um jeito de desativar isso."
5,Muito bom,"Ótimo jogo , muito legal"
5,Amo,Jogo incrível
5,Legal,Muito bom!!
1,Me roubaram,Voltei a jogar e lembro que parei lá pelo nível 400 por aí e voltei no 18 agora...
5,Juju123456,Muito bom
5,Terapia,Meu o jogo e da hora eu aconselho as pessoas jogarem por e ótimo passa tempo da hora meu e animal
5,Bom,Muito bom
5,Ahhhhh,Melhor jogo
5,Vicio,Amo
5,Kaka,💕💕💕
1,Travou de vez,Agora não abre nem o jogo mais travou tudo que coisa arrumem isso aí já tá assim a um tempão aff 😤 😤 😤
1,Cobranças?,"Estou tentando atualizar 
Este app e está me solicitando cobrança 
O que houve?"
5,Adoro,Passatempo favorito
4,Viciante,É muito bom!
5,amo dilmais,melhor jogo do mundo
5,Demora nas fases,"Jogo ótimo, mas as fases são chatas, não apresentam desafios. É uma repetição sem fim...
Poderia ser mais dinâmico..."
5,Prefeito!,To sempre jogando!
5,Muito booom,Ótimo
5,Adoooro o jogo,Essa versão atualizada tá muito mais legal q a primeira. 😍
5,Cand,Adoro o jogo
1,Não conectem ao Facebook!,Conectei ao Facebook e perdi todo o meu progresso!!! Estava na fase 370 e ele voltou pra fase 30!!!
5,Muito viciante,Jogo ótimo para passar o tempo e competir com os amigos!!!
3,Amo o jogo,"Amo o jogo, porém ultimamente tem roubados algumas fases minha, passo a fase e ela volta na mesma como se não tivesse passado. Isso precisa melhorar !"
3,Bom,"Não está conectando a internet, precisa de atualização."
5,Top,Top
5,Bom,🤙🏼👍🏼
5,Bom,Muito bom
1,Péssimo,Horrível
5,Meu companheiro,"Melhor passatempo nas aulas, metrô ou até em casa"
1,Quero meu dinheiro de volta,Quero meu dinheiro de volta
5,Amo❤️,Demais
5,Bom,Gostei
